codigo,nome,cnpj_cpf,conta,servico_principal,servicos_adicionais,regime,mensalidade,faturamento_anual,data_inicio,responsavel,nps
CLI-00001,Cliente 1,00.100.000/0001-00,Mdias,Legalização,N/A,Lucro Presumido,7538,1750796,2024-02-21,João Silva,4
CLI-00002,Cliente 2,00.100.000/0001-00,Papaya,Certificado Digital,N/A,MEI,4121,769002,2022-11-25,João Silva,6
CLI-00003,Cliente 3,00.100.000/0001-00,Papaya,Certificado Digital,N/A,N/A,1808,4235789,2023-01-19,João Silva,5
CLI-00004,Cliente 4,00.100.000/0001-00,Mdias,BPO RH,N/A,Lucro Real,7014,6965613,2024-04-20,Carlos Souza,3
CLI-00005,Cliente 5,00.100.000/0001-00,Papaya,Legalização,N/A,N/A,7250,6389670,2022-08-15,Maria Santos,4
CLI-00006,Cliente 6,00.100.000/0001-00,Mdias,Certificado Digital,BPO RH,Lucro Real,2153,462509,2023-07-04,João Silva,6
CLI-00007,Cliente 7,00.100.000/0001-00,Zov,Contabilidade,BPO RH,MEI,7736,4810277,2023-07-10,Carlos Souza,5
CLI-00008,Cliente 8,00.100.000/0001-00,Papaya,BPO RH,N/A,Lucro Presumido,8035,7662591,2022-02-20,Carlos Souza,1
CLI-00009,Cliente 9,00.100.000/0001-00,Mdias,BPO RH,N/A,Simples Nacional,9178,48196,2022-08-09,Ana Silva,5
CLI-00010,Cliente 10,00.100.000/0001-00,Papaya,BPO Financeiro,N/A,Lucro Presumido,8453,6749814,2023-05-13,Maria Santos,2
CLI-00011,Cliente 11,00.100.000/0001-00,Mdias,BPO RH,N/A,MEI,5753,1883177,2023-08-26,Maria Santos,1
CLI-00012,Cliente 12,00.100.000/0001-00,Mdias,Legalização,Certificado Digital,Simples Nacional,6982,3870840,2024-07-07,Ana Silva,4
CLI-00013,Cliente 13,00.100.000/0001-00,Zov,Contabilidade,N/A,N/A,4278,4465012,2024-06-02,Ana Silva,2
CLI-00014,Cliente 14,00.100.000/0001-00,Mdias,BPO Financeiro,Legalização,Lucro Presumido,3965,843712,2023-07-10,Carlos Souza,10
CLI-00015,Cliente 15,00.100.000/0001-00,Papaya,BPO Financeiro,N/A,Simples Nacional,6274,1548044,2022-03-26,João Silva,2
CLI-00016,Cliente 16,00.100.000/0001-00,Papaya,Contabilidade,N/A,Lucro Presumido,3987,6203455,2024-05-06,Ana Silva,10
CLI-00017,Cliente 17,00.100.000/0001-00,Zov,Contabilidade,Legalização,Lucro Presumido,4417,5918658,2023-09-07,Maria Santos,3
CLI-00018,Cliente 18,00.100.000/0001-00,Papaya,BPO RH,Certificado Digital,N/A,565,7382220,2023-10-09,Maria Santos,10
