data_captacao,nome,origem,status,vendedor_atribuido
2024-05-12,Lead 1,Evento - Workshop,Desqualificado,N/A
2024-10-23,Lead 2,Instagram - Conteúdo,Qualificado,N/A
2024-04-28,Lead 3,Evento - Workshop,Desqualificado,Ana Silva
2024-12-11,Lead 4,Orgânico - SEO,Desqualificado,N/A
2024-11-06,Lead 5,Orgânico - SEO,Novo,Carlos Souza
2024-10-07,Lead 6,LinkedIn - BPO,Novo,Ana Silva
2024-07-15,Lead 7,Google Ads - Contabilidade PME,Desqualificado,N/A
2024-09-14,Lead 8,Orgânico - SEO,Novo,Ana Silva
2024-05-25,Lead 9,Orgânico - SEO,Desqualificado,Ana Silva
2024-03-25,Lead 10,LinkedIn - BPO,Desqualificado,Ana Silva
2024-10-23,Lead 11,Instagram - Conteúdo,Desqualificado,N/A
2024-03-04,Lead 12,Orgânico - SEO,Novo,Ana Silva
2024-03-12,Lead 13,Google Ads - Contabilidade PME,Desqualificado,Carlos Souza
2024-07-24,Lead 14,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-03-22,Lead 15,Evento - Workshop,Desqualificado,Carlos Souza
2024-09-18,Lead 16,Evento - Workshop,Desqualificado,Ana Silva
2024-11-15,Lead 17,Instagram - Conteúdo,Desqualificado,Ana Silva
2024-05-13,Lead 18,LinkedIn - BPO,Em contato,Ana Silva
2024-09-05,Lead 19,Evento - Workshop,Convertido,Ana Silva
2024-08-26,Lead 20,Evento - Workshop,Qualificado,N/A
2024-06-04,Lead 21,Evento - Workshop,Novo,Carlos Souza
2024-04-01,Lead 22,Google Ads - Contabilidade PME,Em contato,Ana Silva
2024-07-21,Lead 23,Google Ads - Contabilidade PME,Qualificado,Carlos Souza
2024-01-10,Lead 24,LinkedIn - BPO,Qualificado,N/A
2024-08-13,Lead 25,Instagram - Conteúdo,Em contato,N/A
2024-05-24,Lead 26,Evento - Workshop,Desqualificado,Ana Silva
2024-01-22,Lead 27,Orgânico - SEO,Qualificado,N/A
2024-12-02,Lead 28,Orgânico - SEO,Qualificado,N/A
2024-03-13,Lead 29,LinkedIn - BPO,Convertido,Carlos Souza
2024-05-02,Lead 30,Instagram - Conteúdo,Convertido,N/A
2024-03-05,Lead 31,Evento - Workshop,Em contato,Carlos Souza
2024-11-26,Lead 32,Evento - Workshop,Qualificado,N/A
2024-03-20,Lead 33,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-12-03,Lead 34,Instagram - Conteúdo,Novo,Ana Silva
2024-05-28,Lead 35,Google Ads - Contabilidade PME,Em contato,N/A
2024-09-12,Lead 36,Evento - Workshop,Novo,N/A
2024-05-12,Lead 37,Google Ads - Contabilidade PME,Em contato,N/A
2024-11-28,Lead 38,Instagram - Conteúdo,Em contato,Carlos Souza
2024-01-12,Lead 39,Evento - Workshop,Qualificado,Carlos Souza
2024-01-01,Lead 40,Evento - Workshop,Em contato,Ana Silva
2024-09-08,Lead 41,Orgânico - SEO,Convertido,Carlos Souza
2024-05-03,Lead 42,Google Ads - Contabilidade PME,Convertido,Carlos Souza
2024-11-28,Lead 43,Google Ads - Contabilidade PME,Em contato,Carlos Souza
2024-03-11,Lead 44,Instagram - Conteúdo,Qualificado,N/A
2024-04-04,Lead 45,Instagram - Conteúdo,Em contato,Carlos Souza
2024-02-21,Lead 46,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-09-02,Lead 47,Instagram - Conteúdo,Desqualificado,Ana Silva
2024-06-19,Lead 48,Google Ads - Contabilidade PME,Desqualificado,N/A
2024-04-14,Lead 49,LinkedIn - BPO,Novo,Ana Silva
2024-08-21,Lead 50,Evento - Workshop,Em contato,N/A
2024-02-26,Lead 51,Google Ads - Contabilidade PME,Em contato,Ana Silva
2024-04-15,Lead 52,Orgânico - SEO,Novo,Carlos Souza
2024-06-04,Lead 53,Orgânico - SEO,Qualificado,Carlos Souza
2024-04-05,Lead 54,Orgânico - SEO,Novo,Ana Silva
2024-04-10,Lead 55,Google Ads - Contabilidade PME,Desqualificado,Ana Silva
2024-05-02,Lead 56,Orgânico - SEO,Novo,Ana Silva
2024-10-09,Lead 57,Google Ads - Contabilidade PME,Em contato,Carlos Souza
2024-03-19,Lead 58,Evento - Workshop,Desqualificado,Carlos Souza
2024-12-11,Lead 59,Google Ads - Contabilidade PME,Desqualificado,Carlos Souza
2024-05-01,Lead 60,LinkedIn - BPO,Convertido,Ana Silva
2024-12-21,Lead 61,Orgânico - SEO,Em contato,N/A
2024-09-19,Lead 62,Google Ads - Contabilidade PME,Convertido,Carlos Souza
2024-09-25,Lead 63,Orgânico - SEO,Convertido,Ana Silva
2024-04-06,Lead 64,Google Ads - Contabilidade PME,Novo,N/A
2024-10-25,Lead 65,Instagram - Conteúdo,Em contato,Ana Silva
2024-08-06,Lead 66,Instagram - Conteúdo,Novo,Carlos Souza
2024-05-20,Lead 67,Evento - Workshop,Novo,Carlos Souza
2024-06-05,Lead 68,Evento - Workshop,Convertido,N/A
2024-01-16,Lead 69,Evento - Workshop,Qualificado,Carlos Souza
2024-02-27,Lead 70,Evento - Workshop,Convertido,N/A
2024-03-04,Lead 71,Orgânico - SEO,Em contato,N/A
2024-06-17,Lead 72,Evento - Workshop,Em contato,N/A
2024-07-22,Lead 73,Evento - Workshop,Em contato,N/A
2024-07-16,Lead 74,Orgânico - SEO,Desqualificado,Ana Silva
