id,data_criacao,cliente,vendedor,servico,etapa,valor,origem,data_fechamento,motivo_perda
OP-00001,2024-11-02,Lead 00001,Pedro Costa,BPO Financeiro,Prospecção,5663,Indicação,2026-12-31,N/A
OP-00002,2024-06-01,Lead 00002,Pedro Costa,Tributário,Fechado Perdido,14196,Orgânico,2024-04-18,N/A
OP-00003,2024-04-23,Lead 00003,Carlos Souza,Tributário,Fechado Ganho,39766,Indicação,2024-01-01,N/A
OP-00004,2024-11-25,Lead 00004,Ana Silva,Legalização,Fechado Perdido,11820,Outro,2024-01-17,Timing
OP-00005,2024-02-22,Lead 00005,Bruna Rocha,Tributário,Qualificação,3335,Instagram,2026-12-31,N/A
OP-00006,2024-03-17,Lead 00006,Bruna Rocha,Contabilidade,Qualificação,21756,LinkedIn,2026-12-31,N/A
OP-00007,2024-04-23,Lead 00007,Ana Silva,Tributário,Fechado Perdido,20870,Indicação,2024-07-24,Preço
OP-00008,2024-04-28,Lead 00008,Mariana Lima,BPO RH,Prospecção,11865,Facebook,2026-12-31,N/A
OP-00009,2024-07-18,Lead 00009,Carlos Souza,Contabilidade,Fechado Ganho,1126,LinkedIn,2024-10-06,N/A
OP-00010,2024-10-12,Lead 00010,Carlos Souza,BPO RH,Proposta,23489,Facebook,2026-12-31,N/A
OP-00011,2024-08-26,Lead 00011,Pedro Costa,Certificado Digital,Fechado Perdido,3506,Google Ads,2024-08-12,Sem fit
OP-00012,2024-04-08,Lead 00012,João Oliveira,Certificado Digital,Negociação,10143,Outro,2026-12-31,N/A
OP-00013,2024-07-27,Lead 00013,Ana Silva,Contabilidade,Fechado Ganho,28218,Orgânico,2024-06-06,N/A
OP-00014,2024-01-12,Lead 00014,Ana Silva,Certificado Digital,Negociação,25128,Instagram,2026-12-31,N/A
OP-00015,2024-12-17,Lead 00015,Mariana Lima,Legalização,Prospecção,4022,Google Ads,2026-12-31,N/A
OP-00016,2024-04-20,Lead 00016,Carlos Souza,Tributário,Fechado Perdido,16802,Evento,2024-11-27,Concorrente
OP-00017,2024-01-20,Lead 00017,Mariana Lima,BPO RH,Qualificação,23331,Evento,2026-12-31,N/A
OP-00018,2024-11-21,Lead 00018,João Oliveira,Certificado Digital,Prospecção,20366,Evento,2026-12-31,N/A
OP-00019,2024-01-19,Lead 00019,Pedro Costa,Tributário,Negociação,11448,Facebook,2026-12-31,N/A
OP-00020,2024-10-27,Lead 00020,Pedro Costa,Contabilidade,Proposta,19739,Evento,2026-12-31,N/A
OP-00021,2024-12-04,Lead 00021,Bruna Rocha,BPO RH,Fechado Ganho,1713,Google Ads,2024-10-17,N/A
OP-00022,2024-05-20,Lead 00022,Pedro Costa,Contabilidade,Fechado Perdido,10006,Outro,2024-01-08,Concorrente
OP-00023,2024-05-03,Lead 00023,João Oliveira,Contabilidade,Negociação,21949,Google Ads,2026-12-31,N/A
OP-00024,2024-09-17,Lead 00024,Bruna Rocha,BPO RH,Qualificação,1660,Indicação,2026-12-31,N/A
OP-00025,2024-11-16,Lead 00025,Ana Silva,Legalização,Prospecção,14663,LinkedIn,2026-12-31,N/A
OP-00026,2024-11-22,Lead 00026,Pedro Costa,BPO Financeiro,Negociação,29748,Instagram,2026-12-31,N/A
OP-00027,2024-07-26,Lead 00027,Ana Silva,Tributário,Prospecção,27742,Outro,2026-12-31,N/A
OP-00028,2024-03-28,Lead 00028,Bruna Rocha,BPO Financeiro,Qualificação,22337,Google Ads,2026-12-31,N/A
OP-00029,2024-04-19,Lead 00029,João Oliveira,Contabilidade,Prospecção,10944,Outro,2026-12-31,N/A
OP-00030,2024-07-19,Lead 00030,Mariana Lima,Tributário,Prospecção,17960,Evento,2026-12-31,N/A
OP-00031,2024-05-15,Lead 00031,Pedro Costa,Certificado Digital,Fechado Perdido,29778,Evento,2024-06-25,Timing
OP-00032,2024-01-04,Lead 00032,João Oliveira,BPO RH,Fechado Perdido,12363,Evento,2024-12-12,Timing
OP-00033,2024-07-24,Lead 00033,Ana Silva,Certificado Digital,Prospecção,13058,Indicação,2026-12-31,N/A
OP-00034,2024-08-07,Lead 00034,João Oliveira,Tributário,Prospecção,31682,Orgânico,2026-12-31,N/A
OP-00035,2024-02-15,Lead 00035,Bruna Rocha,Certificado Digital,Negociação,22221,LinkedIn,2026-12-31,N/A
OP-00036,2024-12-26,Lead 00036,João Oliveira,BPO Financeiro,Prospecção,25239,Orgânico,2026-12-31,N/A
OP-00037,2024-10-05,Lead 00037,João Oliveira,Certificado Digital,Fechado Perdido,12193,Indicação,2024-06-09,N/A
OP-00038,2024-07-02,Lead 00038,Pedro Costa,BPO Financeiro,Proposta,27248,Facebook,2026-12-31,N/A
OP-00039,2024-08-08,Lead 00039,Mariana Lima,Legalização,Fechado Ganho,18526,Instagram,2024-09-25,N/A
OP-00040,2024-05-09,Lead 00040,Pedro Costa,BPO RH,Qualificação,15533,Google Ads,2026-12-31,N/A
OP-00041,2024-07-16,Lead 00041,Bruna Rocha,Certificado Digital,Fechado Ganho,18336,LinkedIn,2024-10-25,N/A
